round,lr,mean_client_loss_total,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,head_similarity_max,head_similarity_min,n_clusters,clusters_str,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
22,0.0006112604669781572,70.38286332512541,15.711113452911377,601.9478228167827,0.971292989458207,0.9018929184023524,0.9999030232429504,0.9976231455802917,1,client_1+client_2+client_3+client_4,3.7640074000009918,15.596967697143555,0.9433962264150944,15.450983047485352,0.9433962264150944,15.931212425231934,0.8636363636363636,15.865290641784668,0.8571428571428571
23,0.0005797999475166897,69.5397581241906,15.987942934036255,656.4280676073494,0.9706658073979585,0.9071193992385893,0.9998559951782227,0.9981595277786255,1,client_1+client_2+client_3+client_4,3.8188938000021153,16.062475204467773,0.9433962264150944,15.955266952514648,0.9433962264150944,15.988312721252441,0.8636363636363636,15.945716857910156,0.8780487804878049
24,0.0005480115129538409,69.1315533725705,15.90923023223877,648.9390944513215,0.9693988358473015,0.9116549580194311,0.9999306797981262,0.9987435340881348,1,client_1+client_2+client_3+client_4,3.755586899998889,15.865443229675293,0.9433962264150944,15.79111099243164,0.9615384615384616,16.003477096557617,0.8636363636363636,15.976889610290527,0.8780487804878049
25,0.0005160257887858277,68.48699413363778,15.84879446029663,632.0629247207714,0.9718986208490215,0.9014450884788753,0.9999511241912842,0.9985305070877075,1,client_1+client_2+client_3+client_4,3.7953630999982124,15.701740264892578,0.9433962264150944,15.623258590698242,0.9615384615384616,16.026988983154297,0.8636363636363636,16.043190002441406,0.8372093023255814
26,0.0004839742112141724,67.32593106659378,15.670188665390015,602.7502292895923,0.9733537976166982,0.903516295025729,0.9999393820762634,0.9984838366508484,1,client_1+client_2+client_3+client_4,3.790715299997828,15.503318786621094,0.9433962264150944,15.40337085723877,0.9433962264150944,15.902335166931152,0.8636363636363636,15.871729850769043,0.8636363636363636
27,0.0004519884870461591,66.74462317463093,15.62692141532898,601.7349746662608,0.9763401211446407,0.918094137104668,0.9999286532402039,0.9987983107566833,1,client_1+client_2+client_3+client_4,3.6972862999973586,15.07840347290039,0.9433962264150944,15.035918235778809,0.9615384615384616,16.14362144470215,0.8837209302325582,16.24974250793457,0.8837209302325582
28,0.0004202000524833105,65.78219247103277,15.239609718322754,516.9220631164278,0.9734157139814565,0.8939203354297695,0.9999503493309021,0.9992358684539795,1,client_1+client_2+client_3+client_4,4.220028700001421,15.00951099395752,0.9433962264150944,14.775887489318848,0.9433962264150944,15.712672233581543,0.8444444444444444,15.460368156433105,0.8444444444444444
29,0.00038873953302184284,65.2128498020013,15.624049425125122,595.1896674893944,0.974403467456052,0.9176085542364613,0.9999572038650513,0.9993716478347778,1,client_1+client_2+client_3+client_4,3.7318230000018957,15.548367500305176,0.9615384615384616,15.417442321777344,0.9615384615384616,15.85600471496582,0.8837209302325582,15.674383163452148,0.8636363636363636
30,0.0003577362066844838,64.51577228894433,15.314079523086548,542.2285773608526,0.9743011282747656,0.9130729954556195,0.9999644160270691,0.9993140697479248,1,client_1+client_2+client_3+client_4,3.72155290000228,15.015006065368652,0.9433962264150944,14.842387199401855,0.9615384615384616,15.75508975982666,0.8837209302325582,15.643835067749023,0.8636363636363636
31,0.0003273174727893463,63.25807419127236,15.552952527999878,578.3723075051989,0.9758500413182438,0.8987183152277493,0.9999698400497437,0.9993788003921509,1,client_1+client_2+client_3+client_4,4.113533199997619,15.302678108215332,0.9433962264150944,15.167064666748047,0.9433962264150944,15.921517372131348,0.8636363636363636,15.820549964904785,0.8444444444444444
